id,name,latitude,longitude
5430716819,Ber Sarai,28.5494846,77.1806657
5430722260,Mohan Singh Market,28.566637,77.1763611
5430722261,Ber Sarai,28.5507016,77.1816752
5430722262,National Council of Educational Research and Training,28.5379032,77.1937762
5430722263,Rama Krishna Puram Sector 10,28.5701244,77.1731598
5430723111,Saket Terminal,28.5228223,77.21662
5430723244,Munirka,28.5585631,77.1738684
5430723253,Sri Niwas Puri,28.5666441,77.2530703
5431738836,Defence Colony (Homeopathic College),28.5719686,77.227722
5432714822,Unnamed Stop,28.6261691,77.2215315
5432720712,Tolstoy Marg,28.6264441,77.2208496
5432771968,Pragati Vihar,28.5871223,77.2296054
5433538142,"Saket, G Block",28.5222765,77.2094274
5433538143,"Saket, G Block",28.5219927,77.2102387
5433538360,Anupam Cinema,28.5253985,77.2058052
5433538362,"Saket, J Block",28.5226318,77.2135155
5433538542,"Saket, J Block",28.5225551,77.2133193
5436500983,South Extension,28.5685582,77.2204545
5441522259,Central School Lodhi Road,28.5849678,77.2282312
5441523402,Central School Lodhi Road,28.5848004,77.2278129
5441523431,"Lodhi Colony, 18-Block",28.5871743,77.2240192
5441523433,Lodhi Colony Block 12-13,28.584737,77.2245485
5445739531,Panchsheel Club,28.5444826,77.2087316
5449158263,Lodhi Colony Block 12-13,28.5847184,77.2242952
5455134119,PNB Gitanjali,28.5291698,77.2015144
5455135429,Hauz Rani,28.5294025,77.2157938
5455135430,Garhi Village,28.5621454,77.2513302
5455135431,Modi Mill,28.5554693,77.2651135
5455135856,Lajpat Nagar,28.5652858,77.2485287
5455135858,Lajpat Nagar Crossing,28.5642588,77.2500698
5455135882,Sheikh Sarai,28.5337958,77.2317736
5455135921,"Saket, A-Block",28.5277851,77.2050986
5455135922,Khirki Village,28.5298852,77.2180771
5455135924,Sriniwaspuri Depot,28.5607607,77.260458
5455135925,Unnamed Stop,28.5162804,77.2265108
5463095835,Dhaula Kuan,28.5907626,77.1681542
5463095836,Atma Ram Sanatan Dharma College,28.5906137,77.1682107
5463095927,Raj Nagar,28.5700611,77.2011368
5464573102,South Moti Bagh,28.5815793,77.1740688
5483330230,"Saket, J Block",28.5194826,77.215876
